,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,OverallQual,OverallCond,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalFinishedBsmtSF,TotalFinishedBsmtSF_BsmtQual_Interaction,TotalFullBaths,TotalHalfBaths,HouseAge,YearsSinceRemodel,TotalPorchArea
320,60,3,111.0,16259,1,0,3,3,1,3,2,NridgHt,9,5,3,370.0,3,3,5,4,2.0,0.0,0,1249,1249,6,5,1,5,1249,1347,0,2596,4,1,4,9,5.0,0,0,5.0,2006.0,2.0,3,840,3,3,2,0,0,0,0,0,9,2006,4.0,0,342643,0,0,3,1,0,0,394
321,60,3,99.0,12099,1,0,2,3,1,2,2,NridgHt,8,5,2,388.0,4,3,5,3,2.0,5.0,0,166,1136,6,5,1,5,1136,1332,0,2468,4,1,4,10,5.0,1,4,3.0,2004.0,3.0,3,872,3,3,2,0,0,0,0,0,6,2007,5.0,5,354000,970,4850,3,1,3,3,338
322,60,3,86.0,10380,1,0,2,3,1,2,2,SawyerW,7,5,2,172.0,4,3,3,3,3.0,1.0,4,0,1502,6,5,1,5,1553,1177,0,2730,4,1,4,8,5.0,1,3,5.0,1987.0,3.0,2,576,3,3,2,0,0,3,0,0,8,2007,5.0,5,301000,1502,4506,3,1,21,20,297
323,20,2,49.0,5820,1,0,3,3,1,2,2,OldTown,3,8,2,0.0,3,4,3,3,0.0,4.0,0,906,1162,6,5,1,5,1163,0,0,1163,3,1,3,6,5.0,0,0,5.0,1955.0,1.0,1,220,2,3,2,0,0,0,0,0,7,2006,5.0,5,126175,256,768,2,0,51,1,240
324,80,3,96.0,11275,1,0,3,3,1,3,2,NAmes,7,7,2,300.0,4,4,4,3,0.0,0.0,0,710,710,6,5,1,5,1898,1080,0,2978,5,1,4,11,5.0,1,4,3.0,1961.0,3.0,2,564,3,3,2,0,0,0,0,0,6,2010,5.0,5,242000,0,0,2,1,43,3,240
325,45,2,50.0,5000,1,0,3,3,1,2,2,IDOTRR,5,6,2,0.0,3,3,3,3,2.0,3.0,0,604,720,6,1,0,3,803,0,0,803,2,1,3,5,5.0,0,0,4.0,1941.0,1.0,2,360,3,3,2,0,0,0,0,0,12,2007,5.0,5,87000,116,348,1,0,66,57,244
326,120,3,32.0,10846,1,0,2,3,1,4,2,Veenker,8,5,2,0.0,4,3,4,3,3.0,5.0,0,100,1719,6,5,1,5,1719,0,0,1719,1,1,4,6,5.0,2,4,5.0,1993.0,3.0,2,473,3,3,2,0,0,0,0,0,5,2008,0.0,5,324000,1619,6476,3,1,15,15,152
327,20,3,80.0,11600,1,0,3,3,1,2,2,NAmes,6,5,2,175.0,3,3,3,3,0.0,2.0,0,818,1383,6,3,1,5,1383,0,0,1383,3,1,3,7,5.0,0,0,5.0,1960.0,2.0,1,292,3,3,2,0,0,0,0,0,4,2006,5.0,5,145250,565,1695,1,1,46,46,45
328,75,3,52.0,11888,1,2,2,1,1,2,2,BrkSide,6,6,2,0.0,3,3,3,3,0.0,0.0,0,844,844,6,4,0,4,1445,689,0,2134,5,1,4,10,5.0,0,0,4.0,1930.0,1.0,2,441,3,3,2,0,0,0,0,0,7,2009,5.0,5,214500,0,0,2,0,93,15,328
329,70,2,60.0,6402,1,0,3,3,1,3,2,IDOTRR,5,5,2,0.0,3,3,3,3,1.0,0.0,0,596,596,6,3,0,5,596,596,0,1192,3,1,3,6,5.0,0,0,4.0,1920.0,1.0,1,189,2,2,0,0,0,2,0,0,7,2009,5.0,5,78000,0,0,1,0,89,59,137
330,90,3,73.0,10624,1,0,2,3,1,2,2,NAmes,5,4,2,84.0,3,3,3,3,0.0,5.0,1,1424,1728,6,3,1,5,1728,0,0,1728,6,2,3,10,5.0,0,0,4.0,2002.0,1.0,1,352,3,3,2,0,0,0,0,0,11,2007,5.0,5,119000,304,912,2,1,43,43,155
331,20,3,70.0,8176,1,0,3,3,1,2,2,NAmes,5,6,2,0.0,3,3,3,3,0.0,2.0,0,210,1056,6,2,1,5,1056,0,0,1056,3,1,3,6,5.0,0,0,5.0,1958.0,2.0,1,308,3,3,2,0,0,0,0,0,8,2007,5.0,5,139000,846,2538,2,0,49,15,0
332,20,3,85.0,10655,1,0,2,3,1,2,2,NridgHt,8,5,2,296.0,4,3,4,3,0.0,5.0,0,1603,3206,6,5,1,5,1629,0,0,1629,3,1,4,7,5.0,1,4,5.0,2003.0,2.0,3,880,3,3,2,0,0,0,0,0,10,2009,5.0,5,284000,1603,6412,3,0,6,5,0
333,120,2,59.0,8198,1,0,3,3,1,0,2,NridgHt,7,5,3,146.0,4,3,4,3,2.0,5.0,0,638,1358,6,5,1,5,1358,0,0,1358,2,1,4,6,5.0,1,4,5.0,2004.0,2.0,2,484,3,3,2,0,0,0,0,0,7,2008,5.0,5,207000,720,2880,3,0,4,4,222
334,60,3,59.0,9042,1,0,2,3,1,2,2,Gilbert,6,5,2,0.0,3,3,4,3,3.0,5.0,0,115,943,6,4,1,5,943,695,0,1638,3,1,3,7,5.0,2,3,5.0,1998.0,3.0,2,472,3,3,2,0,0,0,0,0,7,2008,5.0,5,192000,828,3312,3,1,10,10,138
335,190,3,85.0,164660,0,0,2,2,1,3,0,Timber,5,6,2,0.0,3,3,3,3,3.0,4.0,3,103,1499,6,5,1,5,1619,167,0,1786,3,1,3,7,5.0,2,4,5.0,1965.0,3.0,2,529,3,3,2,0,0,0,1,1,8,2008,5.0,5,228950,1396,4188,4,0,43,43,670
336,20,3,86.0,14157,1,0,2,2,1,3,2,StoneBr,9,5,3,200.0,4,3,5,3,3.0,5.0,0,673,1922,6,5,1,5,1922,0,0,1922,3,1,4,8,5.0,1,4,5.0,2005.0,3.0,3,676,3,3,2,0,0,0,0,0,7,2007,5.0,5,377426,1249,6245,3,0,2,1,229
337,20,3,70.0,9135,1,0,3,3,1,2,2,CollgCr,7,5,2,113.0,4,3,4,3,2.0,5.0,0,726,1536,6,5,1,5,1536,0,0,1536,3,1,4,7,5.0,0,0,5.0,2002.0,2.0,2,532,3,3,2,0,0,0,0,0,12,2008,5.0,5,214000,810,3240,3,0,6,5,266
338,20,3,91.0,14145,1,0,3,3,1,3,2,NWAmes,7,7,2,0.0,4,3,4,3,1.0,4.0,0,995,1208,6,5,1,5,1621,0,0,1621,3,1,4,8,5.0,0,0,5.0,1984.0,2.0,2,440,3,3,2,0,0,0,1,1,5,2006,5.0,5,202500,213,852,3,0,22,8,153
339,20,3,66.0,12400,1,0,2,3,1,2,2,NAmes,6,7,2,176.0,3,3,3,2,0.0,2.0,0,630,1215,6,3,1,4,1215,0,0,1215,3,1,3,6,5.0,0,0,5.0,1958.0,1.0,1,297,3,3,2,0,0,0,0,0,6,2009,5.0,5,155000,585,1755,1,0,51,11,234
340,60,3,85.0,14191,1,0,3,3,1,2,2,Timber,8,5,2,0.0,4,3,4,3,0.0,0.0,0,967,967,6,5,1,5,993,915,0,1908,4,1,4,9,5.0,0,0,5.0,2002.0,3.0,2,431,3,3,2,0,0,0,0,0,4,2010,5.0,5,202900,0,0,2,1,8,8,135
341,20,1,60.0,8400,1,0,3,3,1,2,2,SawyerW,4,4,2,0.0,2,2,3,2,0.0,0.0,0,721,721,6,4,1,5,841,0,0,841,2,1,3,4,5.0,0,0,1.0,1950.0,1.0,1,294,3,3,0,0,0,0,0,0,9,2009,5.0,5,82000,0,0,1,0,59,59,274
342,90,3,73.0,8544,1,0,3,3,1,2,2,NAmes,3,4,2,340.0,3,3,0,0,0.0,0.0,0,0,0,3,2,0,4,1040,0,0,1040,2,2,3,6,5.0,0,0,4.0,1949.0,1.0,2,400,3,3,2,0,0,0,0,0,5,2006,5.0,5,87500,0,0,2,0,57,56,0
343,120,3,63.0,8849,1,0,2,3,1,2,2,NridgHt,9,5,2,616.0,5,3,5,3,0.0,5.0,0,1656,1684,6,5,1,5,1684,0,0,1684,2,1,5,6,5.0,1,5,5.0,2005.0,2.0,2,564,3,3,2,0,0,0,0,0,7,2008,5.0,5,266000,28,140,2,0,3,3,567
344,160,2,36.0,2592,1,0,3,3,1,2,2,MeadowV,5,3,2,0.0,3,3,4,3,0.0,2.0,3,175,536,6,3,1,5,536,576,0,1112,3,1,3,4,5.0,0,0,5.0,1976.0,1.0,1,336,3,3,2,0,0,0,0,0,4,2010,5.0,5,85000,361,1444,1,1,34,34,182
345,50,3,65.0,6435,1,0,3,3,1,2,2,BrkSide,6,5,2,0.0,3,3,3,3,0.0,0.0,0,972,972,6,4,1,5,972,605,0,1577,3,1,2,6,5.0,1,4,4.0,1939.0,1.0,1,312,3,3,2,0,0,0,0,0,10,2006,5.0,5,140200,0,0,1,0,67,56,0
346,20,3,73.0,12772,1,0,2,3,1,4,2,NAmes,6,8,2,0.0,3,4,3,3,1.0,3.0,0,460,958,6,3,1,5,958,0,0,958,2,1,3,5,5.0,0,0,5.0,1960.0,2.0,1,301,3,3,2,0,0,0,5,3,4,2007,5.0,5,151500,498,1494,1,0,47,9,0
347,20,3,73.0,17600,1,0,2,3,1,2,2,NAmes,6,5,2,30.0,3,3,3,3,0.0,3.0,0,208,1478,6,5,1,4,1478,0,0,1478,3,1,3,6,5.0,2,4,5.0,1960.0,1.0,2,498,3,3,2,0,0,0,0,0,12,2009,5.0,5,157500,1270,3810,3,0,49,49,40
348,160,3,36.0,2448,1,0,3,3,1,2,2,NridgHt,7,5,3,106.0,4,3,4,3,0.0,5.0,0,191,764,6,5,1,5,764,862,0,1626,2,1,4,6,5.0,0,0,3.0,2003.0,2.0,2,474,3,3,2,0,0,0,0,0,10,2008,5.0,5,154000,573,2292,3,1,5,4,27
349,60,3,56.0,20431,1,0,1,3,1,2,2,NridgHt,9,5,2,870.0,5,3,5,3,0.0,5.0,0,438,1848,6,5,1,5,1848,880,0,2728,4,1,5,10,5.0,2,5,5.0,2006.0,3.0,3,706,3,3,2,0,0,0,0,0,4,2006,4.0,0,437154,1410,7050,3,1,1,0,0
350,120,3,68.0,7820,1,0,2,3,1,2,2,NridgHt,9,5,2,362.0,5,3,5,3,0.0,0.0,0,1869,1869,6,5,1,5,1869,0,0,1869,2,1,5,6,5.0,1,4,5.0,2007.0,2.0,2,617,3,3,2,0,0,0,0,0,12,2007,4.0,0,318061,0,0,2,0,0,0,264
351,120,3,80.0,5271,1,0,2,0,1,2,1,ClearCr,7,5,2,0.0,3,3,4,3,3.0,5.0,0,371,1453,6,4,1,5,1453,0,0,1453,2,1,4,6,5.0,1,3,5.0,1986.0,2.0,2,445,3,3,2,0,0,0,0,0,12,2006,5.0,4,190000,1082,4328,2,1,20,20,264
352,50,3,60.0,9084,1,0,3,3,1,2,2,Edwards,5,6,2,0.0,3,3,3,2,1.0,1.0,1,0,616,6,3,0,5,616,495,0,1111,3,1,3,5,5.0,0,0,4.0,1941.0,1.0,1,200,3,2,2,0,0,0,0,0,3,2008,0.0,5,95000,616,1848,1,1,67,58,48
353,30,2,60.0,8520,1,0,3,3,1,2,2,OldTown,6,8,2,0.0,3,4,3,3,0.0,0.0,0,624,624,6,4,1,5,720,0,0,720,2,1,3,5,5.0,0,0,4.0,2005.0,1.0,2,484,3,3,2,0,0,0,0,0,5,2010,5.0,5,105900,0,0,1,0,82,7,106
354,50,3,60.0,8400,1,0,3,1,1,2,2,SWISU,6,5,2,0.0,3,3,3,3,0.0,1.0,0,552,940,6,5,1,5,1192,403,0,1595,2,1,3,6,5.0,2,4,5.0,1940.0,1.0,1,240,3,3,2,0,0,0,0,0,6,2006,5.0,5,140000,388,1164,1,0,66,6,108
355,20,3,105.0,11249,1,0,1,3,1,2,2,CollgCr,6,5,2,0.0,4,4,4,4,0.0,4.0,3,322,1200,6,5,1,5,1200,0,0,1200,3,1,4,6,5.0,0,0,5.0,1995.0,2.0,2,521,3,3,2,0,0,0,0,0,8,2007,5.0,5,177500,878,3512,3,0,12,12,26
356,20,3,65.0,9248,1,0,2,3,1,2,2,Gilbert,6,6,2,106.0,3,3,4,3,0.0,5.0,0,598,1158,6,4,1,5,1167,0,0,1167,3,1,4,6,5.0,0,0,5.0,1992.0,2.0,2,400,3,3,2,0,0,0,0,0,7,2009,5.0,5,173000,560,2240,3,0,17,17,146
357,120,2,44.0,4224,1,0,3,3,1,2,2,MeadowV,5,5,2,0.0,3,3,4,3,0.0,4.0,0,268,1142,6,3,1,5,1142,0,0,1142,3,1,3,6,5.0,1,1,5.0,1976.0,3.0,2,528,3,3,2,0,0,3,0,0,8,2007,5.0,5,134000,874,3496,2,1,31,31,626
358,80,3,92.0,6930,1,0,2,3,1,2,2,ClearCr,5,4,2,120.0,3,3,3,3,2.0,3.0,1,468,1062,6,5,1,3,1352,0,0,1352,3,1,4,6,3.0,0,0,3.0,1958.0,1.0,1,288,3,3,2,0,0,0,0,0,7,2006,5.0,4,130000,594,1782,1,1,48,48,462
359,60,3,78.0,12011,1,0,2,3,1,4,2,NoRidge,8,5,2,530.0,4,3,4,3,2.0,5.0,0,130,1086,6,5,1,5,1086,838,0,1924,3,1,4,7,5.0,1,3,5.0,1998.0,2.0,2,592,3,3,2,0,0,0,0,0,6,2006,5.0,5,280000,956,3824,3,1,8,8,657
360,85,3,73.0,7540,1,0,2,3,1,4,2,Mitchel,6,6,2,0.0,3,3,4,3,2.0,5.0,0,115,888,6,5,1,5,912,0,0,912,2,1,3,5,5.0,1,3,5.0,1978.0,2.0,2,470,3,3,2,0,0,3,0,0,6,2007,5.0,5,156000,773,3092,2,0,29,29,192
361,50,3,52.0,9144,1,2,3,3,1,2,2,BrkSide,5,5,2,0.0,3,3,3,3,0.0,2.0,0,484,883,6,4,1,5,988,517,0,1505,3,1,3,8,5.0,0,0,4.0,1940.0,1.0,1,240,3,3,0,0,0,0,0,0,7,2008,5.0,5,145000,399,1197,2,0,68,26,0
362,85,3,64.0,7301,1,0,3,3,1,3,2,Edwards,7,5,2,500.0,4,3,0,0,0.0,0.0,0,0,0,6,5,1,5,495,1427,0,1922,4,1,4,7,5.0,1,5,3.0,2003.0,2.0,2,672,3,3,2,0,0,0,0,0,7,2009,2.0,5,198500,0,0,3,0,6,6,177
363,160,2,21.0,1680,1,0,3,3,1,2,2,BrDale,6,8,2,510.0,3,3,3,3,0.0,4.0,0,321,483,6,4,1,5,483,504,0,987,2,1,4,5,5.0,0,0,4.0,1972.0,1.0,1,264,3,3,2,0,0,0,0,0,5,2009,5.0,5,118000,162,486,1,1,37,2,250
364,60,3,80.0,18800,1,0,2,3,1,1,2,NWAmes,6,5,2,120.0,3,3,4,3,1.0,5.0,0,84,796,6,3,1,5,790,784,0,1574,3,1,3,6,5.0,1,3,5.0,1976.0,3.0,2,566,3,3,2,0,0,0,0,0,7,2006,5.0,5,190000,712,2848,3,1,30,30,417
365,70,2,59.0,10690,1,0,3,3,1,2,2,IDOTRR,5,7,2,0.0,3,4,3,2,0.0,2.0,0,216,672,6,4,1,4,672,672,0,1344,3,1,3,6,5.0,0,0,4.0,1964.0,1.0,1,468,3,2,2,0,0,0,0,0,7,2009,5.0,5,147000,456,1368,1,0,89,12,346
366,20,3,73.0,9500,1,0,2,3,1,2,2,NAmes,6,5,2,247.0,3,3,4,3,0.0,3.0,0,785,1394,6,4,1,5,1394,0,0,1394,3,1,3,6,5.0,2,4,5.0,1963.0,2.0,2,514,3,3,2,0,0,0,0,0,7,2009,5.0,5,159000,609,2436,2,1,46,46,261
367,80,3,101.0,9150,1,0,2,3,1,3,2,NAmes,6,5,2,305.0,3,3,4,3,3.0,5.0,0,728,1099,6,4,1,5,1431,0,0,1431,3,1,3,6,5.0,1,4,0.0,1962.0,2.0,1,296,3,3,2,0,0,0,0,0,12,2008,5.0,5,165000,371,1484,1,1,46,46,174
368,20,3,78.0,7800,1,0,3,3,1,2,2,NAmes,5,6,2,200.0,3,3,3,3,0.0,1.0,0,728,1268,6,4,1,5,1268,0,0,1268,2,1,3,7,5.0,1,4,5.0,1954.0,3.0,1,244,3,3,2,0,0,0,0,0,3,2010,5.0,5,132000,540,1620,1,0,56,56,98
369,20,3,73.0,9830,1,0,2,3,1,3,2,NAmes,5,7,2,0.0,3,4,3,3,0.0,4.0,1,733,1063,6,5,1,5,1287,0,0,1287,3,1,4,7,5.0,1,4,4.0,1997.0,3.0,2,576,3,3,2,0,0,0,0,0,3,2010,5.0,5,162000,330,990,2,0,51,4,563
370,60,3,65.0,8121,1,0,2,3,1,2,2,Gilbert,6,5,2,0.0,3,3,4,3,0.0,0.0,0,953,953,6,5,1,5,953,711,0,1664,3,1,3,7,5.0,1,3,5.0,2000.0,2.0,2,460,3,3,2,0,0,0,0,0,1,2006,5.0,5,172400,0,0,2,1,6,6,140
371,50,3,80.0,17120,1,0,3,3,1,2,2,ClearCr,4,4,2,0.0,3,3,0,0,0.0,0.0,0,0,0,6,3,1,5,1120,468,0,1588,4,1,3,7,3.0,1,4,4.0,1991.0,3.0,2,680,3,3,0,0,0,0,0,0,7,2008,5.0,5,134432,0,0,2,0,49,49,59
372,120,3,50.0,7175,1,0,3,3,1,2,2,SawyerW,6,5,2,0.0,3,3,4,3,0.0,4.0,2,0,744,6,3,1,5,752,0,0,752,2,1,3,4,5.0,0,0,5.0,1984.0,1.0,1,264,3,3,2,0,0,3,0,0,2,2010,5.0,5,125000,744,2976,2,0,26,26,443
373,20,3,79.0,10634,1,0,3,3,1,2,2,NAmes,5,6,2,0.0,3,3,3,3,0.0,3.0,2,0,608,6,3,1,5,1319,0,0,1319,3,1,3,5,3.0,0,0,5.0,1953.0,1.0,1,270,3,3,2,0,0,2,0,0,11,2009,5.0,5,123000,608,1824,2,0,56,56,66
374,60,3,65.0,8200,1,0,3,3,1,2,2,CollgCr,7,5,2,0.0,4,3,4,3,0.0,0.0,0,847,847,6,5,1,5,847,1081,0,1928,4,1,4,8,5.0,1,4,3.0,2003.0,3.0,2,434,3,3,2,0,0,0,0,0,7,2007,5.0,5,219500,0,0,2,1,4,3,148
375,30,3,65.5,10020,1,0,2,0,1,2,0,Edwards,1,1,2,0.0,2,2,2,1,3.0,3.0,0,333,683,6,4,0,4,904,0,0,904,1,1,2,4,1.0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,3,2009,5.0,5,61000,350,700,1,1,87,59,0
376,85,3,57.0,8846,1,0,2,3,1,4,2,CollgCr,5,5,2,0.0,4,3,4,3,2.0,5.0,0,572,870,6,5,1,5,914,0,0,914,2,1,3,5,5.0,0,0,4.0,1998.0,1.0,2,576,3,3,2,0,0,0,0,0,7,2006,5.0,5,148000,298,1192,1,0,10,10,0
377,60,4,102.0,11143,1,0,2,3,1,3,2,Somerst,8,5,2,0.0,4,3,4,3,0.0,0.0,0,1580,1580,6,5,1,5,1580,886,0,2466,4,1,4,8,5.0,1,4,5.0,2004.0,2.0,2,610,3,3,2,0,0,0,0,0,12,2007,5.0,5,340000,0,0,3,0,3,2,373
378,20,3,88.0,11394,1,0,3,3,1,3,2,StoneBr,9,2,3,350.0,4,3,5,3,2.0,5.0,0,411,1856,6,5,1,5,1856,0,0,1856,1,1,5,8,5.0,1,5,5.0,2010.0,3.0,3,834,3,3,2,0,0,0,0,0,6,2010,4.0,0,394432,1445,7225,2,1,0,0,113
379,60,3,60.0,8123,1,0,2,3,1,2,2,Gilbert,6,5,2,16.0,3,3,4,3,0.0,0.0,0,982,982,6,5,1,5,1007,793,0,1800,3,1,3,7,5.0,1,3,5.0,2000.0,3.0,2,463,3,3,2,0,0,0,0,0,6,2009,5.0,5,179000,0,0,2,1,9,9,163
380,50,3,50.0,5000,1,2,3,3,1,2,2,SWISU,5,6,2,0.0,3,3,3,3,0.0,1.0,0,808,1026,6,3,1,5,1026,665,0,1691,3,1,4,6,5.0,1,4,4.0,1924.0,1.0,1,308,3,3,2,0,0,0,0,0,5,2010,5.0,5,127000,218,654,2,0,86,60,242
381,20,4,60.0,7200,1,2,3,3,1,2,2,Somerst,7,5,2,0.0,4,3,4,4,0.0,0.0,0,1293,1293,6,5,1,5,1301,0,0,1301,2,1,4,5,5.0,1,4,5.0,2006.0,2.0,2,572,3,3,2,0,0,0,0,0,8,2006,4.0,0,187750,0,0,3,0,0,0,337
382,60,3,79.0,9245,1,0,2,3,1,2,2,CollgCr,7,5,2,0.0,4,3,4,3,2.0,0.0,0,939,939,6,5,1,5,939,858,0,1797,3,1,4,8,5.0,0,0,5.0,2006.0,2.0,2,639,3,3,2,0,0,0,0,0,4,2007,5.0,5,213500,0,0,2,1,1,1,197
383,45,1,60.0,9000,1,0,3,3,1,3,2,SawyerW,6,3,2,0.0,3,3,2,2,0.0,0.0,0,784,784,6,3,0,4,784,0,0,784,2,1,3,5,5.0,0,0,4.0,1950.0,1.0,2,360,2,2,0,0,0,0,0,0,10,2009,5.0,5,76000,0,0,1,0,81,59,91
384,60,3,80.0,53107,1,0,1,0,1,3,1,ClearCr,6,5,2,0.0,4,3,4,3,2.0,5.0,0,595,1580,6,5,1,5,1079,874,0,1953,3,1,4,9,5.0,2,2,5.0,1992.0,3.0,2,501,3,3,2,0,0,0,0,0,6,2007,5.0,5,240000,985,3940,3,1,15,15,447
385,120,3,43.0,3182,1,0,3,3,1,2,2,Blmngtn,8,5,2,16.0,4,3,4,3,0.0,5.0,0,1232,1256,6,5,1,5,1269,0,0,1269,2,1,4,6,5.0,1,3,5.0,2004.0,3.0,2,430,3,3,2,0,0,0,0,0,4,2010,5.0,5,192000,24,96,2,0,6,5,310
386,50,3,58.0,8410,1,0,3,3,1,1,2,Edwards,5,3,2,0.0,3,2,3,3,0.0,0.0,0,658,658,6,3,1,5,658,526,0,1184,5,1,3,8,5.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,5,2006,5.0,3,81000,0,0,1,0,96,10,151
387,80,3,72.0,7200,1,0,3,3,1,2,2,Edwards,6,6,2,255.0,3,3,3,3,2.0,4.0,0,410,1041,6,5,1,5,1125,0,0,1125,3,1,3,6,5.0,1,2,4.0,1977.0,1.0,1,352,3,3,2,0,0,2,0,0,10,2009,5.0,4,125000,631,1893,2,0,33,33,296
388,20,3,93.0,9382,1,0,2,3,1,4,2,CollgCr,7,5,2,125.0,4,3,4,3,0.0,0.0,0,1468,1468,6,5,1,5,1479,0,0,1479,3,1,4,6,5.0,0,0,5.0,1999.0,2.0,2,577,3,3,2,0,0,0,0,0,7,2008,5.0,5,191000,0,0,2,0,9,8,145
389,60,3,96.0,12474,1,0,3,3,1,2,2,NridgHt,10,5,3,272.0,5,3,5,3,2.0,5.0,0,402,1682,6,5,1,5,1742,590,0,2332,3,1,5,9,5.0,1,5,3.0,2008.0,3.0,3,846,3,3,2,0,0,0,0,0,8,2008,4.0,0,426000,1280,6400,3,1,1,0,330
390,50,3,50.0,8405,1,1,3,3,1,2,2,Edwards,5,8,2,0.0,3,3,3,4,0.0,2.0,3,229,861,6,5,1,5,961,406,0,1367,4,1,3,7,5.0,0,0,4.0,1978.0,1.0,1,384,3,3,2,0,0,3,0,0,4,2008,5.0,5,119000,632,1896,2,0,108,58,242
391,60,3,71.0,12209,1,0,2,3,1,4,2,Mitchel,6,5,2,0.0,3,3,5,3,0.0,4.0,0,114,804,6,5,1,5,804,1157,0,1961,3,1,4,7,5.0,1,3,3.0,2001.0,3.0,2,560,3,3,2,0,0,0,0,0,6,2009,5.0,5,215000,690,3450,3,1,8,7,317
392,20,3,73.0,8339,1,0,2,3,1,2,2,NAmes,5,7,2,0.0,3,3,0,0,0.0,0.0,0,0,0,6,3,1,5,882,0,0,882,3,1,3,5,5.0,0,0,5.0,1959.0,2.0,1,294,3,3,2,0,0,3,1,2,7,2007,5.0,5,106500,0,0,1,0,48,48,0
393,30,3,52.0,7446,1,0,3,3,1,3,2,BrkSide,4,5,2,0.0,3,3,3,3,0.0,2.0,0,522,788,6,3,1,4,788,0,0,788,2,1,3,4,5.0,2,3,0.0,0.0,0.0,0,0,0,0,2,0,0,2,0,0,4,2006,5.0,4,100000,266,798,1,0,65,56,0
394,50,3,60.0,10134,1,0,3,3,1,2,2,OldTown,5,6,2,0.0,3,3,3,3,0.0,0.0,0,735,735,6,4,1,4,735,299,0,1034,2,1,3,5,5.0,0,0,4.0,1940.0,1.0,1,240,3,3,2,0,0,0,0,0,7,2007,5.0,5,109000,0,0,1,0,67,57,39
395,20,3,68.0,9571,1,0,3,3,1,2,2,Edwards,5,6,2,0.0,3,3,3,3,2.0,3.0,0,405,1144,6,3,1,5,1144,0,0,1144,3,1,3,6,5.0,0,0,5.0,1956.0,1.0,1,596,3,3,2,0,0,0,0,0,6,2010,5.0,5,129000,739,2217,2,0,54,54,44
396,20,3,60.0,7200,1,0,3,0,1,2,2,CollgCr,5,5,2,0.0,3,3,3,3,2.0,2.0,0,117,894,6,3,1,5,894,0,0,894,2,1,3,6,5.0,0,0,4.0,1985.0,2.0,2,600,3,3,2,0,0,0,0,0,9,2009,5.0,5,123000,777,2331,1,0,37,37,215
397,60,3,69.0,7590,1,0,3,3,1,2,2,NAmes,5,5,2,288.0,3,3,3,3,0.0,4.0,0,324,864,6,3,1,5,876,936,0,1812,4,1,3,8,5.0,1,3,5.0,1962.0,2.0,1,264,3,3,2,0,0,0,0,0,7,2007,5.0,5,169500,540,1620,2,0,45,45,168
398,30,2,60.0,8967,1,0,3,3,1,3,2,IDOTRR,5,2,2,0.0,3,2,2,1,0.0,0.0,0,961,961,6,4,1,1,1077,0,0,1077,2,1,3,6,0.0,0,0,4.0,1920.0,1.0,1,338,1,1,0,0,0,0,0,0,11,2007,5.0,4,67000,0,0,1,0,87,57,0
399,60,4,65.0,8125,1,0,3,3,1,2,2,Somerst,7,5,3,100.0,4,3,4,3,0.0,5.0,0,280,1092,6,5,1,5,1112,438,0,1550,2,1,4,7,5.0,0,0,5.0,2007.0,3.0,2,438,3,3,2,0,0,0,0,0,10,2009,5.0,5,241000,812,3248,3,0,3,2,168
400,120,3,38.0,14963,1,0,1,3,1,2,2,Veenker,8,5,2,0.0,4,3,4,3,0.0,5.0,0,474,1260,6,5,1,5,1288,0,0,1288,1,1,5,4,5.0,2,4,5.0,1996.0,3.0,2,500,3,3,2,0,0,0,0,0,12,2008,5.0,5,245500,786,3144,2,1,12,12,374
401,20,3,65.0,8767,1,0,2,3,1,2,2,CollgCr,7,5,2,0.0,4,3,4,3,2.0,5.0,0,1286,1310,6,5,1,5,1310,0,0,1310,3,1,4,6,5.0,1,4,5.0,2005.0,3.0,2,400,3,3,2,0,0,0,0,0,7,2006,4.0,0,164990,24,96,2,0,1,1,0
402,30,3,60.0,10200,1,0,3,3,1,2,2,Sawyer,5,8,2,0.0,3,3,3,3,0.0,0.0,0,672,672,6,5,1,5,672,0,0,672,2,1,3,4,5.0,0,0,4.0,1940.0,1.0,1,240,3,3,0,0,0,4,0,0,8,2008,5.0,5,108000,0,0,1,0,68,11,168
403,60,3,93.0,12090,1,0,3,3,1,3,2,NoRidge,8,5,2,650.0,4,3,4,3,0.0,0.0,0,1141,1141,6,4,1,5,1165,1098,0,2263,4,1,4,10,5.0,1,3,3.0,1998.0,3.0,2,420,3,3,2,0,0,0,0,0,7,2006,5.0,4,258000,0,0,2,1,8,8,267
